source,record_id,source_categories,families,carrier_kinds,configuration_evidence,canonicalization_role,multiplicity,multiplicity_basis,source_element_count,extractable_configured_count,reference_rs_count,attached_tetrahedral_count,reference_locus_count,structure_available
acs_stereomolgraph,VS013,planar_bond;planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS014,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS015,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS016,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS017,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS018,tetrahedral;tetrahedral;planar_bond,planar_bond;tetrahedral,atom_center;bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS019,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS020,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS021,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS024,tetrahedral;tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,4,4,,,,true
acs_stereomolgraph,VS025,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS026,tetrahedral;tetrahedral;planar_bond;planar_bond,planar_bond;tetrahedral,atom_center;bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,4,4,,,,true
acs_stereomolgraph,VS027,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS028,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS029,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS030,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS031,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS032,tetrahedral;planar_bond,planar_bond;tetrahedral,atom_center;bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS033,tetrahedral;planar_bond,planar_bond;tetrahedral,atom_center;bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS034,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS035,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS036,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS037,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS038,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS039,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS040,tetrahedral;tetrahedral;tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,5,5,,,,true
acs_stereomolgraph,VS041,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS042,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS043,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS044,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS045,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS046,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS047,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS048,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS049,planar_bond;planar_bond;planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS050,tetrahedral;tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,4,4,,,,true
acs_stereomolgraph,VS051,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS052,tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,3,3,,,,true
acs_stereomolgraph,VS053,tetrahedral;planar_bond;planar_bond;planar_bond;planar_bond,planar_bond;tetrahedral,atom_center;bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,5,5,,,,true
acs_stereomolgraph,VS054,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS056,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS058,planar_bond;planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS059,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS060,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS061,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS062,planar_bond,planar_bond,bond_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS064,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS065,tetrahedral;tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,4,4,,,,true
acs_stereomolgraph,VS066,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS067,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS068,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS069,tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,2,2,,,,true
acs_stereomolgraph,VS070,tetrahedral;tetrahedral;tetrahedral;tetrahedral;tetrahedral;tetrahedral;tetrahedral;tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,multiple,extractable_configured_elements,8,8,,,,true
acs_stereomolgraph,VS071,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
acs_stereomolgraph,VS074,tetrahedral,tetrahedral,atom_center,configured_structure,configured_certificate,single,extractable_configured_elements,1,1,,,,true
