source,record_id,carrier_id,family,carrier_status,raw_local_permutations_expected,raw_local_permutations_checked,canonicalizations_completed,theoretical_configuration_classes,theoretical_class_multiplicities,canonical_classes_observed,representation_invariance_passed,formal_class_separation_passed,global_symmetry_quotient,passed,seconds,issues
cip,VS010,VS010:local:0,helical,confirmed,4,4,4,2,2;2,2,true,true,false,true,0.025771430000531836,
cip,VS011,VS011:local:0,helical,confirmed,4,4,4,2,2;2,2,true,true,false,true,0.02584250800009613,
cip,VS013,VS013:local:0,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.02005399299923738,
cip,VS013,VS013:local:1,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.018073342999741726,
cip,VS014,VS014:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1194110369997361,
cip,VS015,VS015:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09822821099987777,
cip,VS016,VS016:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10924946300019656,
cip,VS016,VS016:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09945119700023497,
cip,VS017,VS017:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10114097600035166,
cip,VS017,VS017:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09967809999943711,
cip,VS018,VS018:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.12980653399972653,
cip,VS018,VS018:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.14037730600011855,
cip,VS018,VS018:local:2,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.033601375999751326,
cip,VS019,VS019:local:0,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.043614326000351866,
cip,VS020,VS020:local:0,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.03316123199965659,
cip,VS021,VS021:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.08414674199957517,
cip,VS022,VS022:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.08402064099936979,
cip,VS023,VS023:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.051570782999988296,
cip,VS024,VS024:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09989786999994976,
cip,VS024,VS024:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.11963225100043928,
cip,VS024,VS024:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10051348999968468,
cip,VS024,VS024:local:3,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10016344099949492,
cip,VS025,VS025:local:0,tetrahedral,confirmed,24,24,24,2,12;12,2,true,true,false,true,0.17658573599965166,
cip,VS025,VS025:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.19534923100036394,
cip,VS026,VS026:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.13101065200044104,
cip,VS026,VS026:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.15133925800000725,
cip,VS026,VS026:local:2,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.045495334999941406,
cip,VS026,VS026:local:3,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.06602733799991256,
cip,VS027,VS027:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09975993300031405,
cip,VS027,VS027:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09066937399984454,
cip,VS028,VS028:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.13108284999998432,
cip,VS028,VS028:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.15656213900001603,
cip,VS028,VS028:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.13662508400011575,
cip,VS029,VS029:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1250788499992268,
cip,VS029,VS029:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1465160489997288,
cip,VS029,VS029:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1242256619998443,
cip,VS030,VS030:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.1248767549996046,
cip,VS030,VS030:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.14808397599972523,
cip,VS030,VS030:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.12763812200046232,
cip,VS031,VS031:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.20790984599989315,
cip,VS032,VS032:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09885941299944534,
cip,VS032,VS032:local:1,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.019877046000146947,
cip,VS033,VS033:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.0987079549995542,
cip,VS033,VS033:local:1,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.020017707999613776,
cip,VS034,VS034:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.09395656500055338,
cip,VS034,VS034:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.11258927199924074,
cip,VS034,VS034:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10210323900082585,
cip,VS035,VS035:local:0,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10199301200009359,
cip,VS035,VS035:local:1,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.11676665599952685,
cip,VS035,VS035:local:2,tetrahedral,supplied_support,24,24,24,2,12;12,2,true,true,false,true,0.10604345400042803,
