source,record_id,carrier_id,family,carrier_status,raw_local_permutations_expected,raw_local_permutations_checked,canonicalizations_completed,theoretical_configuration_classes,theoretical_class_multiplicities,canonical_classes_observed,representation_invariance_passed,formal_class_separation_passed,global_symmetry_quotient,passed,seconds,issues
rota,RotA-0002,RotA-0002:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.055889242000375816,
rota,RotA-0003,RotA-0003:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.032953374000499025,
rota,RotA-0004,RotA-0004:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.03403871099999378,
rota,RotA-0005,RotA-0005:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.05963501099995483,
rota,RotA-0006,RotA-0006:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.0564593409999361,
rota,RotA-0007,RotA-0007:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.06509149900011835,
rota,RotA-0008,RotA-0008:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.05826675700063788,
rota,RotA-0009,RotA-0009:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.10825302700050088,
rota,RotA-0010,RotA-0010:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.06248961499932193,
rota,RotA-0011,RotA-0011:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.11197198500030936,
rota,RotA-0012,RotA-0012:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.18948199000078603,
rota,RotA-0013,RotA-0013:local:0,atrop_bond,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.5662914619997537,
rota,RotA-0014,RotA-0014:local:0,atrop_bond,confirmed,8,8,8,2,4;4,1,true,false,true,true,0.6366549000003943,
rota,RotA-0015,RotA-0015:local:0,cumulene_axis,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.04035586800000601,
rota,RotA-0015,RotA-0015:local:1,planar_bond,supplied_support,8,8,8,2,4;4,2,true,true,false,true,0.04046133599968016,
rota,RotA-0016,RotA-0016:local:0,cumulene_axis,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.07261937099974602,
rota,RotA-0017,RotA-0017:local:0,cumulene_axis,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.06326112900023872,
rota,RotA-0018,RotA-0018:local:0,cumulene_axis,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.029464092000125675,
rota,RotA-0019,RotA-0019:local:0,cumulene_axis,confirmed,8,8,8,2,4;4,2,true,true,false,true,0.03143160899981012,
